clave provincinombre establecimiento                                           localidad                              tipo organización
0001AD0003    ESCUELA DE DANZAS CLASICAS Nº3                                   LA PLATA                               ESCUELA DE DANZAS CLÁSICAS
0001AD0003    ESCUELA DE DANZAS CLASICAS Nº3                                   LA PLATA                               ESCUELA DE DANZAS CLÁSICAS
0001AD0003    ESCUELA DE DANZAS CLASICAS Nº3                                   LA PLATA                               ESCUELA DE DANZAS CLÁSICAS
0001AF0001    CENTRO DE PRODUCCION Y EDUCACION ARTISTICO CULTURAL Nº1          MANUEL B. GONNET                       CENTRO DE PRODUCCION Y EDUCACION ARTISTICO CULTURAL
0001AM0001    CONSERVATORIO DE MÚSICA "GILARDO-GILARDI"                        LA PLATA                               CONSERVATORIO DE MÚSICA
0001AM0001    CONSERVATORIO DE MÚSICA "GILARDO-GILARDI"                        LA PLATA                               CONSERVATORIO DE MÚSICA
0001AM0001    CONSERVATORIO DE MÚSICA "GILARDO-GILARDI"                        LA PLATA                               CONSERVATORIO DE MÚSICA
0001AT0004    ESCUELA DE TEATRO LA PLATA                                       LA PLATA                               ESCUELA DE TEATRO
0001AT0004    ESCUELA DE TEATRO LA PLATA                                       LA PLATA                               ESCUELA DE TEATRO
0001AT0004    ESCUELA DE TEATRO LA PLATA                                       LA PLATA                               ESCUELA DE TEATRO
0001AZ0002    ESCUELA DE DANZAS TRADICIONALES ARGENTINAS "JOSE HERNANDEZ"      LA PLATA                               ESCUELA DE DANZAS TRADICIONALES
0001AZ0002    ESCUELA DE DANZAS TRADICIONALES ARGENTINAS "JOSE HERNANDEZ"      LA PLATA                               ESCUELA DE DANZAS TRADICIONALES
0001BS0026    ESC. SECUNDARIA BASICA Nº26                                      RINGUELET                              ESCUELA SECUNDARIA BÁSICA
0001BS0037    ESC. SECUNDARIA BASICA Nº37                                      LA PLATA                               ESCUELA SECUNDARIA BÁSICA
0001BS0054    ESC. SECUNDARIA BASICA Nº54                                      LA PLATA                               ESCUELA SECUNDARIA BÁSICA
0001BS0055    ESC. SECUNDARIA BASICA Nº55                                      LA PLATA                               ESCUELA SECUNDARIA BÁSICA
0001BS0066    ESC. SECUNDARIA BASICA Nº66                                      MELCHOR ROMERO                         ESCUELA SECUNDARIA BÁSICA
0001DA0002    INSTITUTO NUEVO DIQUE                                            ABASTO                                 CENTRO DE ALFABETIZACIÓN
0001DA0003    CENTRO DE ALFABETIZACION Nº3                                     LA PLATA                               CENTRO DE ALFABETIZACIÓN
0001DA0004    CENTRO DE ALFABETIZACION Nº4                                     LA PLATA                               CENTRO DE ALFABETIZACIÓN
0001DA0010    CENTRO DE ALFABETIZACION Nº10                                    LA PLATA                               CENTRO DE ALFABETIZACIÓN
